namespace,tag,min,max
readersDb.articles,science,"{""category"": ""science"", ""aid"": {""$minKey"": 1}}","{""category"": ""science"", ""aid"": {""$maxKey"": 1}}"
readersDb.articles,technology,"{""category"": ""technology"", ""aid"": {""$minKey"": 1}}","{""category"": ""technology"", ""aid"": {""$maxKey"": 1}}"
readersDb.bereads,science,"{""category"": ""science"", ""aid"": {""$minKey"": 1}}","{""category"": ""science"", ""aid"": {""$maxKey"": 1}}"
readersDb.bereads,technology,"{""category"": ""technology"", ""aid"": {""$minKey"": 1}}","{""category"": ""technology"", ""aid"": {""$maxKey"": 1}}"
readersDb.pop_ranks,daily,"{""temporalGranularity"": ""daily"", ""_id"": {""$minKey"": 1}}","{""temporalGranularity"": ""daily"", ""_id"": {""$maxKey"": 1}}"
readersDb.pop_ranks,weekly_monthly,"{""temporalGranularity"": ""monthly"", ""_id"": {""$minKey"": 1}}","{""temporalGranularity"": ""monthly"", ""_id"": {""$maxKey"": 1}}"
readersDb.pop_ranks,weekly_monthly,"{""temporalGranularity"": ""weekly"", ""_id"": {""$minKey"": 1}}","{""temporalGranularity"": ""weekly"", ""_id"": {""$maxKey"": 1}}"
readersDb.reads,Beijing,"{""region"": ""Beijing"", ""id"": {""$minKey"": 1}}","{""region"": ""Beijing"", ""id"": {""$maxKey"": 1}}"
readersDb.reads,Hong Kong,"{""region"": ""Hong Kong"", ""id"": {""$minKey"": 1}}","{""region"": ""Hong Kong"", ""id"": {""$maxKey"": 1}}"
readersDb.sci_articles,science_dup,"{""category"": ""science"", ""aid"": {""$minKey"": 1}}","{""category"": ""science"", ""aid"": {""$maxKey"": 1}}"
readersDb.sci_bereads,science_dup,"{""category"": ""science"", ""aid"": {""$minKey"": 1}}","{""category"": ""science"", ""aid"": {""$maxKey"": 1}}"
readersDb.users,Beijing,"{""region"": ""Beijing"", ""uid"": {""$minKey"": 1}}","{""region"": ""Beijing"", ""uid"": {""$maxKey"": 1}}"
readersDb.users,Hong Kong,"{""region"": ""Hong Kong"", ""uid"": {""$minKey"": 1}}","{""region"": ""Hong Kong"", ""uid"": {""$maxKey"": 1}}"
